N,TAU,HOP_LENGTH,Params,MACs,balanced_acc_mean,balanced_acc_std,top_1_acc_mean,top_1_acc_std,top_3_acc_mean,top_3_acc_std,rejection_recall_mean,rejection_recall_std,target_recall_mean,target_recall_std,macro_auc_pr_mean,macro_auc_pr_std,conf_correct_mean,conf_correct_std,conf_wrong_mean,conf_wrong_std
4,0.25,160,1435,399911,0.8616707924600864,0.013652497276037566,0.7254278358321975,0.027829624925697103,0.9971528093290928,0.000588013589529561,0.813667345701093,0.024707105329897616,0.8856725158395828,0.029471718889459122,0.7906855985271989,0.04273364644069748,0.7596625,0.060421687,0.6599102,0.055815097
4,0.25,320,1435,202261,0.8467010640285009,0.023968242976281567,0.7316219900045434,0.08565442806324433,0.9939118582462516,0.004024954653290764,0.8185226067820202,0.05853877536913688,0.8607902926517413,0.04292057945223159,0.7788849456384053,0.04551630546781067,0.7779605,0.070060626,0.6517559,0.05852945
4,0.5,160,3416,947276,0.8985769908585572,0.02404914745343764,0.8512191428138725,0.04077744338320591,0.9974405573224292,0.0012108603855677021,0.9016428674753569,0.033959809377225404,0.8970440525501575,0.05148325487435419,0.8940150292072969,0.01858427040408759,0.8812647,0.021247063,0.6987497,0.01523162
4,0.5,320,3416,478976,0.9073464926766249,0.013615217906146122,0.8539451764349538,0.04693862781657278,0.9974102680599728,0.0007231462296721625,0.9025024732511954,0.032770393069058955,0.9097685023893398,0.009514704877453187,0.8983141626981977,0.030888897304557034,0.8649155,0.03278194,0.66350883,0.024537083
4,1.0,160,9034,2484386,0.9381516263873173,0.02386646323870397,0.9054975011358474,0.03396852501555453,0.9984552476147206,0.0005605559752634294,0.937091598241748,0.02447048321791461,0.938681640460102,0.026490641564629998,0.9481044234370062,0.022017692387212677,0.9229455,0.02811949,0.70252645,0.017720846
4,1.0,320,9034,1255786,0.9196356876493199,0.012759648844476201,0.8944419203392397,0.012442353802837857,0.9981826442526124,0.0005191318037559687,0.9311279703875407,0.010067521236837008,0.9138895462802097,0.02025630640418655,0.9259502994172507,0.012061098454482678,0.9023393,0.013233734,0.6874401,0.020852998
10,0.125,160,589,167374,0.5814753736675504,0.053316109436195754,0.4677873693775556,0.0781088411527608,0.7986672724519158,0.06231480696885275,0.5810452037416132,0.11787438651872692,0.5815614076527379,0.07558295564040164,0.5046930480628868,0.056635844788299625,0.5701631,0.027214091,0.41410622,0.018829443
10,0.125,320,589,84674,0.56092200391333,0.06541651634109681,0.4677873693775556,0.02749958118310911,0.8171740118128124,0.011143479964403562,0.5964885912811893,0.05417048727387515,0.5538086864397582,0.08820998821647062,0.5041322650970004,0.05076400944453756,0.5719865,0.04277492,0.46308357,0.058609832
10,0.25,160,1489,399965,0.7699250482170504,0.04373049733791505,0.6415114341965773,0.07491545225569898,0.911812812358019,0.02969929372433736,0.7087848344271839,0.0657323764812168,0.7821530909750238,0.0397204450857263,0.7449739848415459,0.04669086315087973,0.73631823,0.031641897,0.5369391,0.018794445
10,0.25,320,1489,202315,0.7317274903719849,0.042405813528622355,0.5842192942601848,0.08586337126034217,0.8903528699076177,0.048494991593241644,0.6653306746431742,0.0731624801364496,0.745006853517747,0.03876562436185885,0.7311689822373544,0.055647192124018016,0.7569301,0.012605082,0.5608944,0.027618337
10,0.5,160,3518,947378,0.8508964133636482,0.02484714557574719,0.7647887323943662,0.04759353674790473,0.9599121611388762,0.012878792620832675,0.8102318819812167,0.043374206064982074,0.8590293196401344,0.028108229503113386,0.8840675472872388,0.019893688876945027,0.81888866,0.026062226,0.5839709,0.027542612
10,0.5,320,3518,479078,0.856564906324828,0.014844354762002777,0.8027866121459942,0.02246526234489737,0.9653490837498108,0.008448410506650475,0.8432487010436029,0.03710309403823304,0.8592281473810731,0.01979833912696082,0.8918270355898169,0.009707030342845925,0.82313776,0.049745418,0.5774701,0.031466447
10,1.0,160,9232,2484584,0.9030333470368037,0.015456215317555982,0.8464788732394366,0.039623605778667706,0.9791761320611844,0.007452289708507206,0.877894762096766,0.03710188416712974,0.9080610640248112,0.016973574632685173,0.9401370574637896,0.010033847168460714,0.86843365,0.025809027,0.5943424,0.028798945
10,1.0,320,9232,1255984,0.9005937802092945,0.0236989150367492,0.812797213387854,0.08505486001123222,0.9654248069059518,0.022787738654853933,0.8463697886304615,0.07862620684834143,0.9114385785250612,0.017434260387482886,0.9302536789635816,0.025407759521674077,0.88141364,0.03174056,0.6153673,0.028159652
24,0.125,160,659,167444,0.3301198509620962,0.08208602362462201,0.3692412539754657,0.06309262276142358,0.6004240496743904,0.06668720009922316,0.3837961305223056,0.11448973813235312,0.3256468276654121,0.09281367190713406,0.3214913866135891,0.059994342852115495,0.46661934,0.06259702,0.26827857,0.03848212
24,0.125,320,659,84744,0.41531429788552804,0.02343905089156269,0.4546418294714524,0.034356122511057595,0.6900651219142814,0.04012287733374997,0.45481089685166765,0.05601846497451162,0.4120229146383497,0.02116117083878086,0.41345065140296144,0.03354142834384836,0.4834412,0.043782167,0.30837134,0.013175024
24,0.25,160,1615,400091,0.618999097270023,0.032493794324119966,0.6208087233075875,0.023597430141110123,0.8118431016204756,0.034540277471032596,0.5072308742874926,0.017580999780551197,0.6283131158519006,0.03465770211175358,0.6839495751724626,0.03462867220155505,0.6690757,0.06400212,0.42222977,0.035573762
24,0.25,320,1615,202441,0.6220663918222493,0.05569354818978311,0.6165379373012267,0.05897241907011216,0.8253824019385128,0.046381375802898896,0.5009804596587415,0.07241625653712362,0.6321568861692084,0.05540415077768012,0.684449426150327,0.044516252656463196,0.6710962,0.03774986,0.42855462,0.02377594
24,0.5,160,3756,947616,0.7596509884230762,0.018398839781460955,0.7551718915644404,0.02123554625597781,0.9293654399515372,0.01120208866637541,0.6612308671720969,0.037964592151120705,0.7678526651939912,0.018922833936619896,0.8338362583052257,0.02219181361420162,0.7897945,0.018110648,0.50549465,0.017278489
24,0.5,320,3756,479316,0.7765879237230131,0.028040603391141436,0.7386339542632137,0.026917670223481033,0.9122368620324096,0.019428339621181744,0.5803414385362711,0.041686908003317265,0.7929417974885749,0.027481333403576915,0.847262911191231,0.022420777855083854,0.7817625,0.05155917,0.49576697,0.040461805
24,1.0,160,9694,2485046,0.8424054372818421,0.016325891157153105,0.8288050885960928,0.013507873462511734,0.952703316674239,0.00863121087192299,0.7457842641352042,0.054167929992297074,0.8504572017107286,0.020480439381893395,0.9162682451180842,0.01655880010971224,0.8569099,0.0130434,0.5499532,0.031964593
24,1.0,320,9694,1256446,0.8315168891111492,0.01911297309607506,0.8190519460851128,0.012093867568281784,0.9500832954717552,0.010120506759305986,0.7291078068237062,0.04905388998559841,0.8400509793017694,0.022174033632047053,0.9099701912083031,0.010291631028573152,0.8590886,0.007969809,0.55400985,0.020349026
